,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
TTS,13205,13393,14070,14427,14696,15840,16329,16329,16103,16109
tvm,10837,17928,22701,45424,70957,0,108591,108853,142463,206502
tweepy,2382,2486,2623,2603,2610,2627,2677,2709,2715,2689
twisted,181614,181614,181614,181718,181718,181718,181445,181482,181491,182520
typer,436,436,436,653,1209,1702,3461,3465,3466,3924
umap,820,1492,1493,1510,1514,2422,2426,2466,2474,2500
ungoogled-chromium,0,0,0,0,591,599,725,757,753,871
uvicorn,4061,4038,4058,4071,4067,4165,4165,4306,4208,4204
video2x,646,701,1106,1177,1180,1496,1537,1704,1772,1977
visidata,1002,1002,1695,2667,2770,3556,3588,4394,4394,4621
vision,535,972,972,1738,1885,2834,3624,4207,9042,11594
vit-pytorch,73,73,76,86,85,112,112,0,0,116
voila,1664,1728,1728,1733,1755,1755,2280,2280,2307,2308
wagtail,9234,6955,6960,10804,10841,12177,12839,14054,14465,14465
walle-web,0,0,0,0,0,0,0,0,0,0
watchdog,3849,3869,3901,3920,4103,4233,4249,4255,4281,4315
WeasyPrint,13487,13580,13615,13622,13652,13998,15032,15042,15148,15149
werkzeug,18570,20301,20301,20342,20359,20362,20377,20381,20320,20322
WeRoBot,387,812,2788,2788,2835,498,459,2836,495,928
wfuzz,1565,1688,1951,4311,4315,4313,4314,4415,6668,4438
whoogle-search,262,384,410,471,471,471,657,671,817,822
WSL,0,0,0,44,44,44,45,45,45,45
wxpy,1131,1150,1195,1297,1447,1452,1437,1437,1481,1781
xonsh,4272,9541,19309,21326,24274,23492,33076,33091,33145,35434
XX-Net,46227,46147,48957,49159,66835,66835,67344,67392,67576,67689
yolov3,1180,1150,1148,1159,1204,1348,2748,2806,3282,3532
you-get,3230,3267,3290,3402,3387,3443,3470,3715,3752,3811
youtube-dl,41193,41361,41361,41365,41425,41491,41506,41592,41640,41647
yowsup,4327,6017,6380,7242,7570,7625,7686,7785,7881,8124
yt-dlp,61824,61865,61989,62064,62266,62343,62359,62456,62515,63052
YT-Spammer-Purge,293,337,416,480,831,841,848,1083,1099,1741
